first_name,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,result,technical
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,8,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,IN,4
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,8,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,STAR BAKER,3
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,8,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,IN,1
Tom,Hetherington,29,Architect,Edinburgh,8,8,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,8,NA,NA,NA,NA
Chris,Geiger,50,Software developer,Bristol,8,9,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,9,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,9,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,9,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,9,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,IN,4
Liam,Charles,19,Student,North London,8,9,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,9,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,9,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,STAR BAKER,1
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,9,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,OUT,2
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,9,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,IN,3
Tom,Hetherington,29,Architect,Edinburgh,8,9,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,9,NA,NA,NA,NA
Chris,Geiger,50,Software developer,Bristol,8,10,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,10,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,10,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,10,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",Runner-up,3
Liam,Charles,19,Student,North London,8,10,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,10,NA,NA,NA,NA
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,WINNER,2
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,10,NA,NA,NA,NA
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,Runner-up,1
Tom,Hetherington,29,Architect,Edinburgh,8,10,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,10,NA,NA,NA,NA
Antony,Amourdoux,30,Banker,London,9,1,NA,NA,IN,12
Briony,Williams,33,Full-time parent,Bristol,9,1,NA,NA,IN,2
Dan,Beasley-Harling,36,Full-time parent,London,9,1,NA,NA,IN,4
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,1,NA,NA,OUT,11
Jon,Jenkins,47,Blood courier,Newport,9,1,NA,NA,IN,5
Karen,Wright,60,In-store sampling assistant,Wakefield,9,1,NA,NA,IN,6
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,1,NA,NA,IN,10
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,1,NA,NA,IN,8
Manon,Lagrave,26,Software project manager,London,9,1,NA,NA,STAR BAKER,3
Rahul,Mandal,30,Research scientist,Rotherham,9,1,NA,NA,IN,7
Ruby,Bhogal,29,Project manager,London,9,1,NA,NA,IN,1
Terry,Hartill,56,Retired air steward,West Midlands,9,1,NA,NA,IN,9
Antony,Amourdoux,30,Banker,London,9,2,NA,NA,IN,9
Briony,Williams,33,Full-time parent,Bristol,9,2,NA,NA,IN,5
Dan,Beasley-Harling,36,Full-time parent,London,9,2,NA,NA,IN,3
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,2,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,2,NA,NA,IN,1
Karen,Wright,60,In-store sampling assistant,Wakefield,9,2,NA,NA,IN,11
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,2,NA,NA,IN,4
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,2,NA,NA,OUT,7
Manon,Lagrave,26,Software project manager,London,9,2,NA,NA,IN,6
Rahul,Mandal,30,Research scientist,Rotherham,9,2,NA,NA,STAR BAKER,2
Ruby,Bhogal,29,Project manager,London,9,2,NA,NA,IN,10
Terry,Hartill,56,Retired air steward,West Midlands,9,2,NA,NA,IN,8
Antony,Amourdoux,30,Banker,London,9,3,NA,NA,OUT,8
Briony,Williams,33,Full-time parent,Bristol,9,3,NA,NA,IN,9
Dan,Beasley-Harling,36,Full-time parent,London,9,3,NA,NA,IN,6
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,3,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,3,NA,NA,IN,2
Karen,Wright,60,In-store sampling assistant,Wakefield,9,3,NA,NA,IN,5
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,3,NA,NA,IN,10
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,3,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,3,NA,NA,IN,3
Rahul,Mandal,30,Research scientist,Rotherham,9,3,NA,NA,STAR BAKER,4
Ruby,Bhogal,29,Project manager,London,9,3,NA,NA,IN,7
Terry,Hartill,56,Retired air steward,West Midlands,9,3,NA,NA,IN,1
Antony,Amourdoux,30,Banker,London,9,4,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,4,NA,NA,IN,5
Dan,Beasley-Harling,36,Full-time parent,London,9,4,NA,NA,STAR BAKER,1
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,4,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,4,NA,NA,IN,3
Karen,Wright,60,In-store sampling assistant,Wakefield,9,4,NA,NA,IN,7
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,4,NA,NA,IN,6
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,4,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,4,NA,NA,IN,8
Rahul,Mandal,30,Research scientist,Rotherham,9,4,NA,NA,IN,4
Ruby,Bhogal,29,Project manager,London,9,4,NA,NA,IN,2
Terry,Hartill,56,Retired air steward,West Midlands,9,4,NA,NA,[a],NA
Antony,Amourdoux,30,Banker,London,9,5,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,5,NA,NA,IN,6
Dan,Beasley-Harling,36,Full-time parent,London,9,5,NA,NA,IN,2
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,5,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,5,NA,NA,IN,7
Karen,Wright,60,In-store sampling assistant,Wakefield,9,5,NA,NA,OUT,9
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,5,NA,NA,STAR BAKER,4
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,5,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,5,NA,NA,IN,5
Rahul,Mandal,30,Research scientist,Rotherham,9,5,NA,NA,IN,3
Ruby,Bhogal,29,Project manager,London,9,5,NA,NA,IN,1
Terry,Hartill,56,Retired air steward,West Midlands,9,5,NA,NA,OUT,8
Antony,Amourdoux,30,Banker,London,9,6,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,6,NA,NA,STAR BAKER,1
Dan,Beasley-Harling,36,Full-time parent,London,9,6,NA,NA,OUT,6
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,6,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,6,NA,NA,IN,2
Karen,Wright,60,In-store sampling assistant,Wakefield,9,6,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,6,NA,NA,IN,5
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,6,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,6,NA,NA,IN,4
Rahul,Mandal,30,Research scientist,Rotherham,9,6,NA,NA,IN,3
Ruby,Bhogal,29,Project manager,London,9,6,NA,NA,IN,7
Terry,Hartill,56,Retired air steward,West Midlands,9,6,NA,NA,NA,NA
Antony,Amourdoux,30,Banker,London,9,7,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,7,NA,NA,IN,5
Dan,Beasley-Harling,36,Full-time parent,London,9,7,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,7,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,7,NA,NA,OUT,4
Karen,Wright,60,In-store sampling assistant,Wakefield,9,7,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,7,NA,NA,STAR BAKER,6
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,7,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,7,NA,NA,IN,2
Rahul,Mandal,30,Research scientist,Rotherham,9,7,NA,NA,IN,1
Ruby,Bhogal,29,Project manager,London,9,7,NA,NA,IN,3
Terry,Hartill,56,Retired air steward,West Midlands,9,7,NA,NA,NA,NA
Antony,Amourdoux,30,Banker,London,9,8,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,8,NA,NA,IN,1
Dan,Beasley-Harling,36,Full-time parent,London,9,8,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,8,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,8,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,8,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,8,NA,NA,IN,2
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,8,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,8,NA,NA,OUT,4
Rahul,Mandal,30,Research scientist,Rotherham,9,8,NA,NA,IN,5
Ruby,Bhogal,29,Project manager,London,9,8,NA,NA,STAR BAKER,3
Terry,Hartill,56,Retired air steward,West Midlands,9,8,NA,NA,NA,NA
Antony,Amourdoux,30,Banker,London,9,9,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,9,NA,NA,OUT,3
Dan,Beasley-Harling,36,Full-time parent,London,9,9,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,9,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,9,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,9,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,9,NA,NA,IN,2
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,9,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,9,NA,NA,NA,NA
Rahul,Mandal,30,Research scientist,Rotherham,9,9,NA,NA,IN,4
Ruby,Bhogal,29,Project manager,London,9,9,NA,NA,STAR BAKER,1
Terry,Hartill,56,Retired air steward,West Midlands,9,9,NA,NA,NA,NA
Antony,Amourdoux,30,Banker,London,9,10,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,10,NA,NA,NA,NA
Dan,Beasley-Harling,36,Full-time parent,London,9,10,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,10,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,10,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,10,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,10,NA,NA,Runner-up,1
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,10,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,10,NA,NA,NA,NA
Rahul,Mandal,30,Research scientist,Rotherham,9,10,NA,NA,WINNER,2
Ruby,Bhogal,29,Project manager,London,9,10,NA,NA,Runner-up,3
Terry,Hartill,56,Retired air steward,West Midlands,9,10,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,1,NA,NA,IN,5
Amelia,LeBruin,24,Fashion designer,Halifax,10,1,NA,NA,IN,4
Dan,Chambers,32,Support worker,Rotherham,10,1,NA,NA,OUT,9
David,Atherton,36,International health adviser,Whitby,10,1,NA,NA,IN,10
Helena,Garcia,40,Online project manager,Leeds,10,1,NA,NA,IN,12
Henry,Bird,20,Student,Durham,10,1,NA,NA,IN,1
Jamie,Finn,20,Part-time waiter,Surrey,10,1,NA,NA,IN,13
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,1,NA,NA,IN,11
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,1,NA,NA,STAR BAKER,6
Phil,Thorne,56,HGV driver,Rainham,10,1,NA,NA,IN,8
Priya,O'Shea,34,Marketing consultant,Leicester,10,1,NA,NA,IN,7
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,1,NA,NA,IN,2
Steph,Blackwell,28,Shop assistant,Chester,10,1,NA,NA,IN,3
Alice,Fevronia,28,Geography teacher,Essex,10,2,NA,NA,STAR BAKER,1
Amelia,LeBruin,24,Fashion designer,Halifax,10,2,NA,NA,IN,9
Dan,Chambers,32,Support worker,Rotherham,10,2,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,2,NA,NA,IN,2
Helena,Garcia,40,Online project manager,Leeds,10,2,NA,NA,IN,12
Henry,Bird,20,Student,Durham,10,2,NA,NA,IN,6
Jamie,Finn,20,Part-time waiter,Surrey,10,2,NA,NA,OUT,11
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,2,NA,NA,IN,4
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,2,NA,NA,IN,8
Phil,Thorne,56,HGV driver,Rainham,10,2,NA,NA,IN,3
Priya,O'Shea,34,Marketing consultant,Leicester,10,2,NA,NA,IN,7
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,2,NA,NA,IN,5
Steph,Blackwell,28,Shop assistant,Chester,10,2,NA,NA,IN,10
Alice,Fevronia,28,Geography teacher,Essex,10,3,NA,NA,IN,7
Amelia,LeBruin,24,Fashion designer,Halifax,10,3,NA,NA,OUT,11
Dan,Chambers,32,Support worker,Rotherham,10,3,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,3,NA,NA,IN,2
Helena,Garcia,40,Online project manager,Leeds,10,3,NA,NA,IN,8
Henry,Bird,20,Student,Durham,10,3,NA,NA,IN,1
Jamie,Finn,20,Part-time waiter,Surrey,10,3,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,3,NA,NA,STAR BAKER,6
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,3,NA,NA,IN,5
Phil,Thorne,56,HGV driver,Rainham,10,3,NA,NA,IN,10
Priya,O'Shea,34,Marketing consultant,Leicester,10,3,NA,NA,IN,4
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,3,NA,NA,IN,9
Steph,Blackwell,28,Shop assistant,Chester,10,3,NA,NA,IN,3
Alice,Fevronia,28,Geography teacher,Essex,10,4,NA,NA,IN,8
Amelia,LeBruin,24,Fashion designer,Halifax,10,4,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,4,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,4,NA,NA,IN,2
Helena,Garcia,40,Online project manager,Leeds,10,4,NA,NA,IN,9
Henry,Bird,20,Student,Durham,10,4,NA,NA,IN,3
Jamie,Finn,20,Part-time waiter,Surrey,10,4,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,4,NA,NA,IN,7
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,4,NA,NA,IN,5
Phil,Thorne,56,HGV driver,Rainham,10,4,NA,NA,OUT,6
Priya,O'Shea,34,Marketing consultant,Leicester,10,4,NA,NA,IN,10
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,4,NA,NA,IN,4
Steph,Blackwell,28,Shop assistant,Chester,10,4,NA,NA,STAR BAKER,1
Alice,Fevronia,28,Geography teacher,Essex,10,5,NA,NA,IN,6
Amelia,LeBruin,24,Fashion designer,Halifax,10,5,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,5,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,5,NA,NA,IN,9
Helena,Garcia,40,Online project manager,Leeds,10,5,NA,NA,OUT,1
Henry,Bird,20,Student,Durham,10,5,NA,NA,IN,3
Jamie,Finn,20,Part-time waiter,Surrey,10,5,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,5,NA,NA,IN,8
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,5,NA,NA,OUT,7
Phil,Thorne,56,HGV driver,Rainham,10,5,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,5,NA,NA,IN,2
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,5,NA,NA,IN,5
Steph,Blackwell,28,Shop assistant,Chester,10,5,NA,NA,STAR BAKER,4
Alice,Fevronia,28,Geography teacher,Essex,10,6,NA,NA,IN,1
Amelia,LeBruin,24,Fashion designer,Halifax,10,6,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,6,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,6,NA,NA,IN,2
Helena,Garcia,40,Online project manager,Leeds,10,6,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,6,NA,NA,IN,4
Jamie,Finn,20,Part-time waiter,Surrey,10,6,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,6,NA,NA,IN,6
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,6,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,6,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,6,NA,NA,OUT,7
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,6,NA,NA,IN,5
Steph,Blackwell,28,Shop assistant,Chester,10,6,NA,NA,STAR BAKER,3
Alice,Fevronia,28,Geography teacher,Essex,10,7,NA,NA,IN,6
Amelia,LeBruin,24,Fashion designer,Halifax,10,7,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,7,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,7,NA,NA,IN,2
Helena,Garcia,40,Online project manager,Leeds,10,7,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,7,NA,NA,STAR BAKER,3
Jamie,Finn,20,Part-time waiter,Surrey,10,7,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,7,NA,NA,OUT,5
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,7,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,7,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,7,NA,NA,NA,NA
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,7,NA,NA,IN,1
Steph,Blackwell,28,Shop assistant,Chester,10,7,NA,NA,IN,4
Alice,Fevronia,28,Geography teacher,Essex,10,8,NA,NA,IN,3
Amelia,LeBruin,24,Fashion designer,Halifax,10,8,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,8,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,8,NA,NA,IN,1
Helena,Garcia,40,Online project manager,Leeds,10,8,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,8,NA,NA,OUT,5
Jamie,Finn,20,Part-time waiter,Surrey,10,8,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,8,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,8,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,8,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,8,NA,NA,NA,NA
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,8,NA,NA,IN,2
Steph,Blackwell,28,Shop assistant,Chester,10,8,NA,NA,STAR BAKER,4
Alice,Fevronia,28,Geography teacher,Essex,10,9,NA,NA,STAR BAKER,4
Amelia,LeBruin,24,Fashion designer,Halifax,10,9,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,9,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,9,NA,NA,IN,2
Helena,Garcia,40,Online project manager,Leeds,10,9,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,9,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,9,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,9,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,9,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,9,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,9,NA,NA,NA,NA
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,9,NA,NA,OUT,1
Steph,Blackwell,28,Shop assistant,Chester,10,9,NA,NA,IN,3
Alice,Fevronia,28,Geography teacher,Essex,10,10,NA,NA,Runner-up,2
Amelia,LeBruin,24,Fashion designer,Halifax,10,10,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,10,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,10,NA,NA,WINNER,1
Helena,Garcia,40,Online project manager,Leeds,10,10,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,10,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,10,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,10,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,10,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,10,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,10,NA,NA,NA,NA
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,10,NA,NA,NA,NA
Steph,Blackwell,28,Shop assistant,Chester,10,10,NA,NA,Runner-up,3
